Section,Project,Provenance,Statement,Detail,Source
Scope of this report,,ASSESSMENT,"This report covers all covered markets for July 2026. It is drawn from 211 projects and 182 captured records. Of those projects, 15 are described in full, selected by significance; 54 further projects are counted but not described; 141 projects filed nothing in this period; and 1 carries no market or region we could resolve. 76 projects whose every record has been dismissed are excluded entirely, because they have no filing to cite. A further 53 projects in this geography are excluded because our capture holds no published name for them; the coverage note says where. Anything outside that geography or period is not covered here.",,
Headline finds,,PRESS,Heart Hotel / Kulik River: Las Vegas Topic Kulik River Capital,2026-07-24 | Clark County,https://news3lv.com/topic/Kulik%20River%20Capital
Headline finds,,RECORD,"   Kulik river capital, LLC: Tentative map consisting of 1 commercial lot on 11.95 acres in a CR (Commercial Resort) Zone within the Airport Environs (AE-60) Overlay.",,https://www.clarkcountynv.gov/adobe/assets/urn:aaid:aem:bcdf1925-6c37-4308-b6f6-c718c78c9183/original/as/Paradise-Minutes-052626.pdf#item-tm-26-500056
Headline finds,,RECORD,OCVibe: Determination that property owner has complied in good faith with the terms and conditions of Amended and Restated Development Agreement No. 2020-00004 for the 2025-2026 review period for the OCVibe Site Master Plan project,2026-07-13 | Anaheim,https://anaheim.granicus.com/DocumentViewer.php?file=anaheim_7f2f654f7555addc70231de198fa22d9.pdf&view=1#item-h9f002fc7dbca
Headline finds,,RECORD,"   Approve Cooperative Agreement No. 12-0876, in substantial form, with Caltrans for design (plans, specifications, and estimates) services for the Northbound SR-57 Off-Ramp to Katella Avenue...",,https://anaheim.granicus.com/AgendaViewer.php?view_id=2&clip_id=3618#item-h84e398be28a0
Headline finds,,RECORD,Hilton Resorts resort: UC-26-0373: Use Permit for a monorail,2026-07-28 | Clark County,https://www.clarkcountynv.gov/adobe/assets/urn:aaid:aem:7592f7a2-1607-4db1-84fd-1e20f3737ec6/original/as/Winchester-Agenda-072826.pdf#item-uc-26-0373
Headline finds,,RECORD,"   Hilton resorts corporation: Use permit for a monorail on approximately 21 acres in an RM50 (Residential Multi-Family 50) Zone, a CR (Commercial Resort) Zone...",,https://www.clarkcountynv.gov/adobe/assets/urn:aaid:aem:8340d248-d877-48dc-b600-8d2fc9dffb3e/original/as/Winchester-Agenda-081126.pdf#item-uc-26-0373
Headline finds,,RECORD,Disneyland Resort: Determine compliance in good faith with the terms and conditions of First Amended and Restated Development Agreement No. 96-01 for the 2025-2026 review period,2026-06-22 | Anaheim,https://anaheim.granicus.com/AgendaViewer.php?view_id=2&clip_id=3636#item-h5cf18daa4ec3
Headline finds,,RECORD,"   Approve the Cooperative Agreement with Walt Disney Parks and Resorts U.S., INC., in the amount estimated at $10,030,000, for funding, design...",,https://anaheim.granicus.com/AgendaViewer.php?view_id=2&clip_id=3511#item-h2d4a3a6c3f2a
Headline finds,,PRESS,Resorts World Aqueduct: Resorts World New York City launches bid for $5B development,New York City,https://www.hoteldive.com/news/resorts-world-nyc-casino-bid/709443/
